source,target,hash,block,timestamp,value_wei,value_eth,gas,gas_price,type
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xb1c665597e32f97230b409c594a9d68f96035776,0x19706d6e4ce5445b94e0c245950ccc810695bb0abe0232c90d13df6fcde08ff1,13884957,1640577113,38654940000000000,0.03865494,21000,71669639416,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xf217cad75b4c33afa79893a219b25ab90ab0dc30,0xbd972ec26a6566fd4b0fcbb1f526fe2244cbce87b713013464d3e53b1712bcb6,14663540,1651022520,69465000000000000,0.069465,21000,45000000000,transfer
0xc4fd3cef911b01d99bb8a0cde7f43d204f14028b,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xc0a4c0a3f4ca96e42e73e4c781288a5569b7c8020d6936cdd95e56d110b5579b,15031512,1656287551,70000000000000000,0.07,21000,22681229232,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x3714a2b929946b5292e9dd3714c37f1bd91b1f04,0xb0ea9fa11c04389b3c3ff8d9735948462738b9b9ead0cbab4ef87096a6a95237,15031526,1656287761,63215000000000000,0.063215,21000,45000000000,transfer
0x669c8c224543b48af5bfc650780351ac69ee739b,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xe983a48c9bde18f6a644a8add753236f6134edd8aa570f9f3495ecdaf908c378,14663518,1651022285,70830000000000008,0.07083,113073,,unknown
0xa5d3dacc9b5fb1686ecee402964bdadd8bf970b9,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xff21d6688651224ad9522c037bfd8c26751fb5294af7fc3edf11d8e95d658700,2667633,1479725599,7000000000000000000,7.0,21000,63000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x01af3b27709add374e150e4b8d49dac486e2564b,0xade18ba288060f6aeb55551d57915c3b42203474055f2892d401a696eed0899d,2667672,1479726250,6964538000000000000,6.964538,21000,20000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0xf333e2a6c00b2f630b11bbd093fa7d90315f577afc694fc1d33578f3f27683e6,2672201,1479790900,34580000000000000,0.03458,21000,20000000000,transfer
0x027beefcbad782faf69fad12dee97ed894c68549,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xde37be9259c3662c77be38c61efdde0901b742cecd6926395e6dc7061edac660,2807342,1481727745,1221220000000000000,1.22122,90000,20000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xe35c400979fe96fc97d2e5f5c53d469a926679f9,0xdd563f97e87b0c1406797020335bddf3a8f2483dc8045b039bd1512e61de2b35,2807383,1481728457,1213658000000000000,1.213658,21000,20000000000,transfer
